Op	Type	Range tested	Scalar	Hwy	Translated 1 ULP	Sleef 1 ULP	Translated 3.5 ULP	Sleef 3.5 ULP
Exp	f32		1.8 ns (4.9x)	0.5 ns (1.2x)	0.4 ns (1.0x)	0.4 ns (1.0x)	N/A	N/A
Exp	f64		3.3 ns (2.9x)	1.2 ns (1.1x)	1.1 ns (1.0x)	1.2 ns (1.1x)	N/A	N/A
Exp2	f32		2.1 ns (7.2x)	N/A	0.3 ns (1.0x)	0.3 ns (1.0x)	N/A	N/A
Exp2	f64		2.5 ns (2.6x)	N/A	1.0 ns (1.0x)	1.1 ns (1.1x)	N/A	N/A
Exp10	f32		2.5 ns (3.5x)	N/A	0.7 ns (1.0x)	0.8 ns (1.1x)	N/A	N/A
Exp10	f64		9.5 ns (8.6x)	N/A	1.1 ns (1.0x)	1.2 ns (1.1x)	N/A	N/A
Expm1	f32		8.7 ns (14.4x)	0.6 ns (1.0x)	1.7 ns (2.8x)	1.5 ns (2.6x)	N/A	N/A
Expm1	f64		9.4 ns (5.7x)	1.6 ns (1.0x)	3.8 ns (2.3x)	3.7 ns (2.3x)	N/A	N/A
Log	f32		2.2 ns (5.2x)	0.4 ns (1.0x)	1.0 ns (2.4x)	1.1 ns (2.6x)	0.6 ns (1.4x)	0.6 ns (1.4x)
Log	f64		3.4 ns (2.8x)	1.2 ns (1.0x)	2.6 ns (2.1x)	2.8 ns (2.3x)	1.6 ns (1.3x)	1.7 ns (1.4x)
Log2	f32		2.2 ns (5.3x)	0.4 ns (1.0x)	1.2 ns (2.7x)	1.2 ns (2.7x)	N/A	N/A
Log2	f64		4.8 ns (3.8x)	1.2 ns (1.0x)	2.7 ns (2.2x)	3.0 ns (2.4x)	N/A	N/A
Log10	f32		4.5 ns (4.1x)	N/A	1.1 ns (1.0x)	1.1 ns (1.0x)	N/A	N/A
Log10	f64		6.7 ns (2.6x)	N/A	2.6 ns (1.0x)	2.9 ns (1.1x)	N/A	N/A
Log1p	f32		6.9 ns (14.9x)	0.5 ns (1.0x)	1.0 ns (2.1x)	1.0 ns (2.1x)	N/A	N/A
Log1p	f64		8.1 ns (6.1x)	1.3 ns (1.0x)	2.7 ns (2.0x)	3.2 ns (2.4x)	N/A	N/A
Sqrt	f32		0.8 ns (4.2x)	N/A	1.2 ns (7.0x)	0.2 ns (1.0x)	0.2 ns (1.1x)	0.2 ns (1.0x)
Sqrt	f64		1.5 ns (1.0x)	N/A	2.5 ns (1.6x)	1.5 ns (1.0x)	2.6 ns (1.7x)	1.6 ns (1.1x)
Cbrt	f32		12.4 ns (12.6x)	N/A	2.1 ns (2.2x)	2.1 ns (2.1x)	1.1 ns (1.1x)	1.0 ns (1.0x)
Cbrt	f64		12.6 ns (4.4x)	N/A	5.9 ns (2.1x)	5.0 ns (1.8x)	4.0 ns (1.4x)	2.8 ns (1.0x)
Sin	f32		3.4 ns (9.4x)	0.4 ns (1.0x)	0.8 ns (2.2x)	0.8 ns (2.1x)	0.4 ns (1.0x)	0.4 ns (1.2x)
Sin_v2	f32		6.6 ns (19.1x)	0.3 ns (1.0x)	4.5 ns (13.1x)	3.8 ns (10.9x)	0.5 ns (1.6x)	0.6 ns (1.7x)
Sin_v3	f32		6.3 ns (17.5x)	0.4 ns (1.0x)	4.9 ns (13.5x)	3.6 ns (10.0x)	4.8 ns (13.3x)	3.1 ns (8.5x)
Cos	f32		3.4 ns (9.8x)	0.3 ns (1.0x)	0.9 ns (2.7x)	0.9 ns (2.7x)	0.4 ns (1.1x)	0.4 ns (1.3x)
Cos_v2	f32		6.3 ns (18.8x)	0.3 ns (1.0x)	4.5 ns (13.6x)	3.7 ns (11.0x)	0.6 ns (1.8x)	0.6 ns (1.8x)
Cos_v3	f32		6.3 ns (18.7x)	0.3 ns (1.0x)	4.7 ns (13.9x)	3.7 ns (11.1x)	4.6 ns (13.6x)	3.1 ns (9.3x)
Tan	f32		10.7 ns (21.9x)	N/A	1.5 ns (3.0x)	1.5 ns (3.1x)	0.5 ns (1.0x)	0.5 ns (1.0x)
Tan_v2	f32		11.4 ns (16.3x)	N/A	1.5 ns (2.2x)	1.4 ns (2.0x)	0.7 ns (1.0x)	0.7 ns (1.0x)
Tan_v3	f32		12.9 ns (18.8x)	N/A	4.0 ns (5.9x)	4.0 ns (5.9x)	0.7 ns (1.0x)	0.7 ns (1.0x)
Tan_v4	f32		13.3 ns (4.9x)	N/A	4.1 ns (1.5x)	3.7 ns (1.3x)	3.4 ns (1.2x)	2.7 ns (1.0x)
Sin	f64		6.7 ns (5.8x)	1.2 ns (1.0x)	1.7 ns (1.5x)	1.9 ns (1.7x)	1.2 ns (1.0x)	1.2 ns (1.1x)
Sin_v2	f64		7.0 ns (5.8x)	1.2 ns (1.0x)	4.5 ns (3.8x)	4.1 ns (3.5x)	2.3 ns (1.9x)	2.4 ns (2.0x)
Sin_v3	f64		41.9 ns (34.1x)	1.2 ns (1.0x)	14.2 ns (11.6x)	10.9 ns (8.9x)	11.4 ns (9.3x)	8.1 ns (6.6x)
Cos	f64		6.6 ns (5.7x)	1.2 ns (1.1x)	2.1 ns (1.8x)	2.0 ns (1.8x)	1.1 ns (1.0x)	1.2 ns (1.0x)
Cos_v2	f64		7.2 ns (6.2x)	1.2 ns (1.0x)	5.2 ns (4.4x)	4.5 ns (3.8x)	2.9 ns (2.4x)	2.4 ns (2.1x)
Cos_v3	f64		40.0 ns (32.1x)	1.2 ns (1.0x)	16.0 ns (12.8x)	10.6 ns (8.5x)	13.5 ns (10.8x)	7.7 ns (6.2x)
Tan	f64		7.4 ns (4.9x)	N/A	3.1 ns (2.0x)	3.0 ns (1.9x)	1.6 ns (1.0x)	1.5 ns (1.0x)
Tan_v2	f64		15.9 ns (6.1x)	N/A	6.5 ns (2.5x)	6.2 ns (2.4x)	2.6 ns (1.0x)	2.9 ns (1.1x)
Tan_v3	f64		46.0 ns (7.5x)	N/A	6.5 ns (1.1x)	6.2 ns (1.0x)	10.2 ns (1.7x)	7.3 ns (1.2x)
Tan_v4	f64		46.2 ns (6.1x)	N/A	14.0 ns (1.8x)	10.8 ns (1.4x)	10.6 ns (1.4x)	7.6 ns (1.0x)
Asin	f32		6.5 ns (20.3x)	0.4 ns (1.1x)	0.9 ns (3.0x)	1.0 ns (3.0x)	0.3 ns (1.0x)	0.3 ns (1.1x)
Asin	f64		9.9 ns (8.6x)	1.2 ns (1.0x)	2.3 ns (2.0x)	2.4 ns (2.1x)	1.2 ns (1.0x)	1.2 ns (1.0x)
Acos	f32		7.2 ns (14.1x)	0.5 ns (1.0x)	1.3 ns (2.6x)	1.4 ns (2.7x)	0.5 ns (1.0x)	0.6 ns (1.1x)
Acos	f64		8.3 ns (6.2x)	1.3 ns (1.0x)	3.2 ns (2.4x)	3.1 ns (2.3x)	1.6 ns (1.2x)	1.5 ns (1.1x)
Atan	f32		1.2 ns (3.2x)	0.4 ns (1.0x)	1.3 ns (3.3x)	1.3 ns (3.5x)	0.5 ns (1.3x)	0.5 ns (1.2x)
Atan	f64		3.5 ns (2.4x)	1.5 ns (1.0x)	3.0 ns (2.0x)	2.9 ns (2.0x)	1.6 ns (1.1x)	1.7 ns (1.1x)
SinPi	f32		N/A	N/A	1.6 ns (1.1x)	1.4 ns (1.0x)	N/A	N/A
SinPi	f64		N/A	N/A	4.5 ns (1.4x)	3.1 ns (1.0x)	N/A	N/A
CosPi	f32		N/A	N/A	1.6 ns (1.0x)	1.7 ns (1.0x)	N/A	N/A
CosPi	f64		N/A	N/A	5.1 ns (1.5x)	3.4 ns (1.0x)	N/A	N/A
Sinh	f32		13.4 ns (18.5x)	0.7 ns (1.0x)	1.9 ns (2.6x)	1.7 ns (2.3x)	0.8 ns (1.1x)	0.8 ns (1.1x)
Sinh	f64		13.3 ns (7.2x)	1.9 ns (1.0x)	3.8 ns (2.0x)	3.9 ns (2.1x)	2.2 ns (1.2x)	2.2 ns (1.2x)
Cosh	f32		4.6 ns (7.0x)	N/A	1.8 ns (2.8x)	1.6 ns (2.5x)	0.7 ns (1.0x)	0.7 ns (1.0x)
Cosh	f64		5.1 ns (2.7x)	N/A	3.7 ns (2.0x)	3.7 ns (2.0x)	1.8 ns (1.0x)	1.9 ns (1.0x)
Tanh	f32		12.7 ns (18.1x)	0.7 ns (1.0x)	2.1 ns (2.9x)	1.9 ns (2.7x)	0.8 ns (1.1x)	0.7 ns (1.0x)
Tanh	f64		15.4 ns (8.0x)	1.9 ns (1.0x)	4.4 ns (2.3x)	4.4 ns (2.3x)	2.1 ns (1.1x)	2.2 ns (1.1x)
Asinh	f32		7.8 ns (6.4x)	1.2 ns (1.0x)	3.2 ns (2.6x)	3.5 ns (2.8x)	N/A	N/A
Asinh	f64		9.0 ns (2.5x)	3.6 ns (1.0x)	7.9 ns (2.2x)	9.4 ns (2.6x)	N/A	N/A
Acosh	f32		6.0 ns (6.2x)	1.0 ns (1.0x)	2.8 ns (2.8x)	2.9 ns (2.9x)	N/A	N/A
Acosh	f64		7.5 ns (2.2x)	3.4 ns (1.0x)	7.1 ns (2.1x)	7.5 ns (2.2x)	N/A	N/A
Atanh	f32		15.8 ns (10.1x)	1.6 ns (1.0x)	3.0 ns (1.9x)	2.7 ns (1.8x)	N/A	N/A
Atanh	f64		19.2 ns (7.7x)	2.5 ns (1.0x)	6.2 ns (2.5x)	6.1 ns (2.5x)	N/A	N/A
Erf	f32		13.4 ns (7.2x)	N/A	2.0 ns (1.1x)	1.9 ns (1.0x)	N/A	N/A
Erf_v2	f32		13.1 ns (1.1x)	N/A	13.1 ns (1.1x)	11.9 ns (1.0x)	N/A	N/A
Erf	f64		13.9 ns (2.9x)	N/A	4.8 ns (1.0x)	5.4 ns (1.1x)	N/A	N/A
Erf_v2	f64		15.5 ns (1.6x)	N/A	12.7 ns (1.3x)	10.0 ns (1.0x)	N/A	N/A
Erfc	f32		20.2 ns (1.0x)	N/A	26.3 ns (1.3x)	27.3 ns (1.4x)	N/A	N/A
Erfc	f64		15.8 ns (1.0x)	N/A	19.8 ns (1.3x)	17.8 ns (1.1x)	N/A	N/A
Gamma	f32		46.9 ns (4.6x)	N/A	10.7 ns (1.0x)	10.3 ns (1.0x)	N/A	N/A
Gamma_v2	f32		27.5 ns (2.4x)	N/A	11.3 ns (1.0x)	11.4 ns (1.0x)	N/A	N/A
Gamma_v3	f32		72.1 ns (6.3x)	N/A	11.4 ns (1.0x)	11.6 ns (1.0x)	N/A	N/A
Gamma	f64		65.9 ns (2.4x)	N/A	31.8 ns (1.2x)	27.1 ns (1.0x)	N/A	N/A
Gamma_v2	f64		24.7 ns (1.0x)	N/A	28.4 ns (1.2x)	25.0 ns (1.0x)	N/A	N/A
Gamma_v3	f64		93.1 ns (3.8x)	N/A	29.3 ns (1.2x)	24.4 ns (1.0x)	N/A	N/A
LogGamma	f32		15.8 ns (1.7x)	N/A	9.3 ns (1.0x)	10.0 ns (1.1x)	N/A	N/A
LogGamma_v2	f32		14.7 ns (1.2x)	N/A	12.3 ns (1.0x)	12.9 ns (1.1x)	N/A	N/A
LogGamma_v3	f32		60.3 ns (4.9x)	N/A	12.3 ns (1.0x)	13.2 ns (1.1x)	N/A	N/A
LogGamma	f64		16.7 ns (1.0x)	N/A	27.2 ns (1.6x)	26.4 ns (1.6x)	N/A	N/A
LogGamma_v2	f64		15.4 ns (1.0x)	N/A	34.1 ns (2.2x)	30.0 ns (2.0x)	N/A	N/A
LogGamma_v3	f64		107.6 ns (3.6x)	N/A	33.3 ns (1.1x)	29.9 ns (1.0x)	N/A	N/A
